2292.9583333333335,	554.2782599856805
2131.9423076923076,	610.0981112715783
2120.342857142857,	627.1872894054678
2154.076470588235,	677.7060856273501
2112.4102564102564,	674.241732093413
2101.633333333333,	655.8774493368745
2128.039301310044,	702.7264405179433
2117.639534883721,	701.8389449003034
2106.202166064982,	701.3379570473077
2103.714285714286,	685.5622042062831
2103.397476340694,	665.8997955512
2107.14156626506,	658.7246084729272
2110.994301994302,	647.2734153764962
2103.7601078167118,	649.454052740091
2098.4920634920636,	651.9887276616465
2114.1211340206187,	658.9414644000539
2118.1485148514853,	652.3210384418232
2122.764423076923,	655.1737834639459
2126.3634204275536,	653.9045572498194
2130.170900692841,	657.4925808505313
2123.7632743362833,	656.0202961653163
2129.8755364806866,	661.3957232664027
2126.7700421940926,	666.3487426237051
2133.2830957230144,	670.7927835544776
2136.156746031746,	667.5948918292797
2141.6396917148363,	665.8641982755031
2146.2948960302456,	667.716821549913
2152.052919708029,	663.074526110077
2164.4831261101244,	672.3808981698261
2162.8214904679376,	677.9266371597234
2165.8186440677964,	673.6053914725659
2167.4601328903655,	676.2894377158635
2166.1633986928105,	673.3372265962613
2169.0923566878982,	675.0564258338031
2176.0047021943574,	682.1537079694986
2186.9509202453987,	690.1215196421509
2183.412386706949,	693.6355258278752
2182.2385185185185,	696.0170989817371
2179.0566860465115,	705.1109927279942
2189.71104815864,	719.9096919859835
2191.9792243767315,	715.7873085875738
2190.321668909825,	727.3506776304688
2195.3897637795276,	724.5091276205312
2195.0923076923077,	726.1514510423384
2190.7080745341614,	733.4743111868603
2191.8707729468597,	737.8623813422984
2202.957396449704,	738.7275104364788
2206.655813953488,	743.5750239256106
2220.9048697621743,	750.029025900206
2222.9588431590655,	770.3889130619782
2228.214596949891,	770.7839631900855
2227.328678839957,	771.1574887785376
2242.0270833333334,	773.9389853001985
2244.1013306038894,	770.4130006469586
2238.1681772406846,	776.4419097577272
2246.652,	782.4864164238813
2254.904,	793.2424675951208
2252.733,	798.3999989161256
2255.259,	804.4316180677803
2264.612,	812.9787610521704
2274.425,	820.5669506478405
2272.17,	824.5111847596695
2274.345,	829.2503060265007
2278.081,	834.3498739444689
2296.272,	846.728476625848
2293.768,	848.2568702308835
2292.091,	854.0119009978995
2293.521,	862.9849909782056
2295.442,	865.0177792360076
2310.381,	916.6154601253138
2303.7,	923.8787485065028
2308.794,	928.9982741412157
2317.333,	930.1753642831653
2331.941,	949.0928145812135
2337.723,	945.116839396649
2344.333,	955.2054970804202
2348.116,	962.931062316911
2352.025,	968.5440537006868
2363.435,	986.1155386822736
2367.107,	985.6063034175138
2369.335,	993.1687535096681
2367.418,	997.5068185877875
2383.229,	1007.6774684587522
2383.569,	1011.7346303261548
2375.825,	1017.4561855256787
2387.446,	1029.6962024565078
2417.143,	1072.9839967157982
2421.231,	1078.2905276877384
2407.582,	1094.231955688029
2411.401,	1096.0148378209685
2418.616,	1101.8792185881157
2434.171,	1121.731405955145
2431.361,	1126.4476148085662
2433.561,	1138.3212585059487
2431.143,	1148.3816713157755
2473.21,	1200.4639209595287
2477.908,	1198.546502750417
2473.55,	1200.6798872687473
2472.794,	1208.0945177956598
2490.078,	1233.1722368273142
2486.182,	1240.4191648715287
2482.986,	1244.4181806822064
2478.696,	1247.824144131968
2475.831,	1250.1493726322838
2476.706,	1246.8374686530867
2487.434,	1249.3170657502342
2481.218,	1255.8313313533824
2486.065,	1258.7845269386894
2501.49,	1258.28280744971
2511.361,	1271.616030099891
2502.63,	1281.4616932125482
2509.715,	1280.0437679324964
2504.129,	1285.8343245804529
2521.465,	1303.2687121661102
2528.567,	1315.9444164622678
2514.857,	1309.5243558596342
2519.836,	1322.2101606071603
2506.178,	1330.181147137562
2509.935,	1349.2629763520358
2499.398,	1350.1072435792519
2495.449,	1354.916901957537
2492.726,	1357.958018092939
2517.053,	1368.0167425872387
2506.321,	1378.0037402950934
2499.959,	1384.4126956333616
2509.779,	1386.5960921919122
2496.924,	1384.4817730847901
2524.335,	1403.185695790786
2523.674,	1400.2036594767249
2518.748,	1404.2834951072489
2514.036,	1406.1463423983437
2542.966,	1408.7067485987095
2542.494,	1407.1811862211828
2543.602,	1386.2852897223213
2540.157,	1384.995702320569
2559.9,	1392.2612396240008
2542.241,	1389.7438479381306
2536.584,	1394.0059625294175
2538.43,	1397.406704076017
2527.116,	1391.277372514651
2574.474,	1427.5976521346554
2571.291,	1425.566360351831
2553.316,	1440.4878546532086
2560.968,	1436.4005093981968
2523.785,	1410.0033759871978
2527.77,	1391.9079462489
2515.49,	1383.5428988119063
2521.184,	1385.320695569648
2519.823,	1387.3344342672042
2522.637,	1393.6380973471475
2509.698,	1383.736594789543
2472.268,	1365.4282832036886
2463.681,	1374.4074305037877
2463.99,	1378.2035593303883
2489.04,	1412.6565027616568
2471.761,	1405.6874905896404
2468.727,	1404.792389689355
2469.706,	1412.8482061487064
2509.439,	1485.971959676206
2508.261,	1483.9793143721663
2503.619,	1486.4849165888788
2516.175,	1493.6481309579287
2515.587,	1496.4569455286112
2522.268,	1521.0556612104965
2517.345,	1521.4948157813255
2491.286,	1540.3072409751896
2492.732,	1542.5361772205001
2483.278,	1555.268054528684
2461.39,	1563.8039630128626
2458.154,	1565.505216493023
2443.528,	1566.167416847124
2433.719,	1568.9753866147178
2418.057,	1574.1156818769487
2405.01,	1584.6308272776846
2406.79,	1583.4048537347708
2404.837,	1585.0773118417649
2400.474,	1588.41256788336
2394.581,	1593.8934951598594
2392.621,	1600.3188894426344
2393.119,	1600.505505367511
2389.997,	1602.0152320732768
2372.949,	1612.8164034229533
2367.01,	1617.5702350641116
2355.209,	1623.4665530795417
2340.373,	1631.0136220480522
2335.289,	1634.147899927616
2338.565,	1632.8371317660171
2336.444,	1634.473353103686
2317.886,	1644.4111526753409
2310.98,	1648.7039723335383
2292.933,	1654.8424299548822
2285.866,	1659.447344006893
2275.899,	1664.8104560741003
2249.236,	1657.8257068758398
2197.777,	1662.2019909534852
2193.526,	1663.4680614052425
2183.085,	1670.2060124125105
2238.473,	2987.8490459178474
2215.856,	2990.513810721515
2205.627,	2998.2763339702105
2204.89,	2998.209278682657
2203.163,	2998.9525215744343
2182.98,	3002.6452857958952
2170.225,	3000.8708366327855
2156.529,	3002.3840385723597
2149.479,	3005.2414451592244
2142.66,	3007.255276942864
2115.222,	3015.1112205668946
2109.635,	3017.1439530470548
2097.735,	3020.5772477598857
2088.113,	3022.734768667723
2077.861,	3025.250794239553
2020.074,	3024.5050565937827
2012.936,	3026.1117474759935
1992.629,	3030.7877440871225
1979.247,	3032.9510061649194
1933.192,	3038.686792112105
1913.794,	3041.2608350864994
1895.993,	3041.591005838523
1890.335,	3043.031033796344
1882.025,	3042.6327932712634
1880.478,	3042.5324006368323
1866.068,	3044.955525706333
1866.068,	3044.955525706333
1866.068,	3044.955525706333
1866.068,	3044.955525706333
1866.068,	3044.955525706333
1866.068,	3044.955525706333
